,Id,Name,Latitude,Longitude,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
0,1,Trial atlas,35.76282,-5.83859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,9,7,10,4,0,12,3,0,6,0,0,2,8,0,7,8,12,0,4,0,0,0,0,0,0,0,0,0,0
1,2,mojahadine,35.77415,-5.841130000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,intersection agharass,35.77127,-5.830605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,9,9,0,0,18,13,0,20,0,0,0,0,4,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0
3,4, iberia ,35.78141,-5.82076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,8,36,16,11,30,15,6,20,11,0,49,9,0,0,0,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,arrondissement souani,35.75025,-5.82178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,6,4,9,6,4,3,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,rue fes ( rond point tunnel),35.771840000000005,-5.8143199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,14,11,17,7,47,26,5,8,4,15,23,20,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0
6,7,orange boulevard,35.779090000000004,-5.80834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,0,0,0,15,15,4,0,11,0,8,0,0,4,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7,8,kastia,35.7674,-5.8147400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,16,14,3,40,33,5,10,17,12,38,0,0,0,8,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
8,9,rond point benimakada,35.7645,-5.81316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,4,3,16,13,6,2,15,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,hotel de ville,35.766729999999995,-5.80561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,8,9,3,8,34,7,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,rond point jamia arabia (ancienne gare routiere ) ,35.76988,-5.80345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,24,32,32,17,6,8,24,17,17,10,13,14,0,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
11,12,rond point istikbal,35.77231,-5.7913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,0,0,0,3,11,0,0,9,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,rond point nejma,35.775421,-5.8002400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,8,0,0,0,8,11,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,rondpoint macdo playa,35.77545,-5.78876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,rondpoint marina,35.779379999999996,-5.80271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,4,13,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0
15,16,rondpoint port,35.78869,-5.80745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,rondpoint dradeb,35.7869,-5.8342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,dradeb a cote de ramo sport,35.785540000000005,-5.83068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,rondpoint  socco alto,35.781,-5.84258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,6,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,jamaa rwida,35.7586,-5.8121599999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,3,8,19,11,5,9,26,9,8,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
